Id,Value,IngredientId,NutrientTypeId
cb5609f7-a47c-4657-811b-8387f0789a0c,0.9,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50738a46-2822-11f0-8a90-d85ed33237df
cbc84689-a654-4fcd-8a8f-5f7c3f657291,23.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073e4fd-2822-11f0-8a90-d85ed33237df
ce5f7541-bc46-43da-8f3b-7d2692f6696c,0.1,bdf92605-5be0-462a-9356-57a646a3e5a1,5073e32e-2822-11f0-8a90-d85ed33237df
d0164783-ec44-4fcc-9bc7-46381b6e7ecc,36.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073d6fe-2822-11f0-8a90-d85ed33237df
d56d5acc-db9f-48a2-a064-cbc9623b518b,1.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073ae37-2822-11f0-8a90-d85ed33237df
d60cf938-fd0c-4720-a56e-f4c13ad8781f,369.0,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50737d6a-2822-11f0-8a90-d85ed33237df
d8858581-11db-4cca-bfd4-2be3500b03a8,0.71,bdf92605-5be0-462a-9356-57a646a3e5a1,507392cc-2822-11f0-8a90-d85ed33237df
dc21f578-f6cb-4072-ac10-cc8a09e00e86,0.65,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073cbae-2822-11f0-8a90-d85ed33237df
dddd3868-850b-4e11-b843-c25856fcb919,0.3,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073d081-2822-11f0-8a90-d85ed33237df
e902ca81-73c6-4d95-b223-497c849df405,9.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073aa7e-2822-11f0-8a90-d85ed33237df
f02c5e71-ce51-4da8-bcf8-1741873657a2,0.13,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073d4aa-2822-11f0-8a90-d85ed33237df
f0ab15bc-7a14-4c79-bb7c-05c0b74967c6,2.2,bdf92605-5be0-462a-9356-57a646a3e5a1,507382cd-2822-11f0-8a90-d85ed33237df
f1f47607-09dd-48e9-8e1f-5aca0e946624,2.1,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073ac45-2822-11f0-8a90-d85ed33237df
f56a9d5f-d495-4cf3-bc4d-1876e77cf8e7,3.4,bdf92605-5be0-462a-9356-57a646a3e5a1,5073b8c8-2822-11f0-8a90-d85ed33237df
f6b41c6d-8c49-4aa4-b3de-2700fa799c0e,3.5,bdf92605-5be0-462a-9356-57a646a3e5a1,50738086-2822-11f0-8a90-d85ed33237df
f7c114f5-d9de-435f-9edc-eb447f5236c6,266.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073c39b-2822-11f0-8a90-d85ed33237df
faa834e7-9a68-4a6d-8cc1-dfecbb0d9e7c,56.3,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073b036-2822-11f0-8a90-d85ed33237df
